RTA ID,RTA Name,Parties concerned,Changes affect,Date of notification of changes,Date of signature of changes,Date of entry into force of changes,Remarks
21,"EFTA - Korea, Republic of"," Korea, Republic of, European Free Trade Association (EFTA)",Goods,2024-12-03,2012-03-14,2017-12-01,"Notification of the entry into force of Decision No. 1 of 2012 of the Joint EFTA-Korea Committee concerning amendments to Annex I to the Agreement on Rules of Origin and Customs Procedures.

Amendments to the HS structure of Appendix 2 and Appendix 4 to Annex I, in line with amendments to the Nomenclature appended to the International Convention on the Harmonized Commodity Description and Coding System (HS), which entered into force on 1 January 2012."
21,"EFTA - Korea, Republic of"," Korea, Republic of, European Free Trade Association (EFTA)",Goods,2024-12-03,2020-06-05,2023-06-01,"Notification of the entry into force of Decision No. 1 of 2020 of the Joint EFTA-Korea Committee concerning amendments to Annex I to the Agreement on Rules of Origin and Customs Procedures.

Amendments to the HS structure of Appendix 2 and Appendix 4 to Annex I, in line with amendments to the Nomenclature appended to the International Convention on the Harmonized Commodity Description and Coding System (HS), which entered into force on 1 January 2017."
38,Japan - Mexico," Japan, Mexico",Goods,2007-04-12,2006-09-20,2007-04-01,"Notification of the Protocol between Japan and the United Mexican States related to improvement of market access conditions based on Paragraphs 3 and 5 of Article 5 of the Agreement between Japan and the United Mexican States for the Strengthening of the Economic Partnership. 

Japan and the United Mexican States agreed on in quota rates of Customs Duties and aggregate quota quantity of certain originating goods, such as poultry meat, beef and oranges, desiring to improve market access conditions. 

These originating goods were designated for consultation between Japan and the United Mexican States under subparagraphs 1(b), 4(b) and 10(b) of Sections 2 and 3 of Annex 1 of the Agreement between Japan and the United Mexican States for the strengthening of the Economic Partnership, signed on 17 September 2004. "
38,Japan - Mexico," Japan, Mexico",Goods,2012-12-14,2008-01-31,2008-03-01,"Notification of the Exchange of Diplomatic Notes for the Modification to Annex 3 of the Agreement between Japan and Mexico for the Strengthening of the Economic Partnership.

Pursuant to paragraph 2 of Article 8 and subparagraph 2(e)(i) of Article 165 of the Agreement between Japan and Mexico for the Strengthening of the Economic Partnership, signed at Mexico City on 17 September 2004, the Parties agreed to modify Annex 3 (Geographical Indications for Spirits)."
38,Japan - Mexico," Japan, Mexico",Goods,2012-12-14,2012-03-02,2012-04-01,"Notification of the Exchange of Diplomatic Notes for the Modification to Annex 4 of the Agreement between Japan and Mexico for the Strengthening of the Economic Partnership.

Pursuant to subparagraph 3(c) and paragraph 6 of Article 37 and subparagraph 2(e)(i) of Article 165 of the Agreement between Japan and Mexico for the Strengthening of the Economic Partnership, signed at Mexico City on 17 September 2004, the Parties agreed to modify Annex 4 (Specific Rules of Origin). "
38,Japan - Mexico," Japan, Mexico",Goods,2012-12-14,2011-09-22,2012-04-01,"Notification of the Protocol Amending the Agreement between Japan and Mexico for the Strengthening of the Economic Partnership.

Pursuant to Article 174 of the Agreement between Japan and Mexico for the Strengthening of the Economic Partnership, signed at Mexico City on 17 September 2004, the Parties agreed to amend the Agreement to improve market access conditions on certain originating goods and revise the provisions on trade in goods as well as certification of origin and custom procedures. "
42,ASEAN - China," China, ASEAN Free Trade Area (AFTA)",Goods & Services,2022-02-03,2015-11-21,2016-07-01,"Protocol to amend the Framework Agreement on Comprehensive Economic Co-operation and certain Agreements thereunder between the Association of Southeast Asian Nations (ASEAN) and China.
The Protocol provides amendments to the text of the Rules of Origin (ROO) Chapter and introduces a new section on Customs Procedures and Trade Facilitation (CPTF) to the Trade in Goods Agreement. In addition, the Protocol includes a third package of specific commitments under the Agreement on Trade in Services and adds provisions on the promotion and facilitation of investment in the Investment Agreement. Lastly, the Protocol introduces additional rules and areas of coverage for Economic and Technical Cooperation and a Future Work Programme on the further liberalisation of trade in goods, review of product specific rules, and investment liberalisation and protection. "
43,EFTA - Chile," Chile, European Free Trade Association (EFTA)",Goods,2009-01-27,2006-01-31,2008-05-01,"Notification of the entry into force of Decision No. 4 of 2006 of the Joint EFTA-Chile Committee concerning amendments to Annex III, concerning products not covered by the Agreement.

Text of Annex III updated to take into consideration that some products previously listed in Annex III are now included in the Agreement."
43,EFTA - Chile," Chile, European Free Trade Association (EFTA)",Goods,2011-03-02,2008-04-08,2010-10-01,"Notification of the entry into force of Decision No.1 of 2008 of the Joint EFTA-Chile Committee concerning amendments to Annex IV concerning processed agricultural products.

Taking into account that the EFTA States have revised their agreements with the European Community on processed agricultural products, by expanding the product coverage of these agreements and providing for improved concessions for the products covered, the Decision updates Annex IV to ensure products originating in Chile are accorded treatment no less favourable than that accorded to the European Community. Additionally, Chile has reciprocally reduced its duties for the products covered by the Annex. "
43,EFTA - Chile," Chile, European Free Trade Association (EFTA)",Goods,2011-03-03,2008-04-08,2010-10-01,"Notification of the entry into force of Decision No. 2 of 2008 of the Joint EFTA-Chile Committee concerning amendments to Annex V, concerning fish and other marine products. 

Technical amendments to Tables 1 and 2 of Annex V to the EFTA-Chile Free Trade Agreement to harmonize the scope of the Annex, taking into consideration developments in international trade in fish and other marine products. "
43,EFTA - Chile," Chile, European Free Trade Association (EFTA)",Goods,2017-05-05,2013-12-31,2016-09-01,"Notification of the entry into force of Decision No.1 of 2013 of the Joint EFTA-Chile Committee concerning amendments to Appendices 1 and 2 to Annex I concerning the definition of the concept of ""originating products"" and arrangements for administrative cooperation.

Recognizing that amended origin rules will improve the effectiveness of the Agreement and aiming at ensuring legal certainty and predictability for economic operators."
56,"China - Macao, China"," China, Macao, China",Goods,2019-04-29,2018-12-12,2018-12-12,"The Agreement on Trade in Goods of CEPA (hereinafter referred to as ""the Agreement"") was signed on 12 December 2018 between China and Macao China. The Agreement came into effect on the date of signature and was officially implemented from 1 January 2019. The Agreement has integrated the relevant provisions in CEPA and its 10 Supplements, and enriched the content of cooperation by establishing the rules of origin for all products classified under the Mainland tariff codes, and further enhancing the level of customs clearance facilitation, so as to promote the movement of goods between the two places and to foster the continuous development of Macao manufacturing industry.

The Agreement also has a dedicated chapter for the Guangdong-Hong Kong-Macao Greater Bay Area to implement specific measures for customs clearance of goods within the Bay Area to assist Macao's business sector to integrate into the national development strategies and promote the development of the Guangdong-Hong Kong-Macao Greater Bay Area in a jointly basis."
56,"China - Macao, China"," China, Macao, China",Services,2024-12-06,2024-10-10,2024-10-10,"The Second Agreement Concerning Amendment to the CEPA Agreement on Trade in Services eliminates the three-year substantive business operation requirement for most service sectors, providing Macao service providers with easier access to the Mainland market. Additionally, it introduces pilot initiatives in the Guangdong-Hong Kong-Macao Greater Bay Area and includes expanded liberalization measures in sectors such as high-tech, financial services, and audio-visual culture. Moreover, it grants professionals in fields like construction and engineering, accounting, medical care, and education facilitative entry conditions into the Mainland of China, empowering Macao service providers to capitalize on their professional strengths and pursue business growth opportunities in the Mainland of China. The Second Amendment Agreement came into effect on the day of signing (i.e. 10 October 2024) and will be implemented on 1 March 2025. "
56,"China - Macao, China"," China, Macao, China",Services,2020-03-18,2019-11-20,2019-11-20,"The Agreement Concerning Amendment to the CEPA Agreement on Trade in Services CEPA consolidates and sums up the previous liberalization measures relating to trade in services in the CEPA series. The Agreement further expands the scope of liberalization in finance, legal, accounting, construction and engineering, cultural, tourism, distribution, education and other services sectors. Furthermore, the Agreement proposes 11 liberalization measures including finance, legal, education, construction, tourism sectors S/C/N/265/Add.11 that are implemented on a pilot basis in the Guangdong-Hong Kong-Macao Greater Bay Area."
56,"China - Macao, China"," China, Macao, China",Goods & Services,2005-01-26,2004-10-29,2005-01-01,Supplement to the Mainland and Macao Closer Economic Partnership Arrangement
56,"China - Macao, China"," China, Macao, China",Goods & Services,2006-01-13,2005-10-21,2006-01-01,Supplement II to the Mainland and Macao Closer Economic Partnership Arrangement
56,"China - Macao, China"," China, Macao, China",Goods & Services,2006-11-29,2006-06-26,2007-01-01,Supplement III to the Mainland and Macao Closer Economic Partnership Arrangement
56,"China - Macao, China"," China, Macao, China",Goods & Services,2007-12-18,2007-07-02,2007-07-02,Supplement IV to the Mainland and Macao Closer Economic Partnership Arrangement
56,"China - Macao, China"," China, Macao, China",Goods & Services,2009-01-21,2008-07-30,2008-07-30,Supplement V  to the Mainland and Macao Closer Economic Partnership Arrangement
56,"China - Macao, China"," China, Macao, China",Goods & Services,2009-07-31,2009-05-11,2009-05-11,Supplement VI to the Mainland and Macao Closer Economic Partnership Arrangement
56,"China - Macao, China"," China, Macao, China",Goods & Services,2010-12-13,2010-05-28,2010-05-28,Supplement VII to the Mainland and Macao Closer Economic Partnership Arrangement
56,"China - Macao, China"," China, Macao, China",Goods & Services,2012-03-07,2011-12-14,2011-12-14,Supplement VIII to the Mainland and Macao Closer Economic Partnership Arrangement
56,"China - Macao, China"," China, Macao, China",Goods & Services,2012-09-14,2012-07-02,2012-07-02,Supplement IX to the Mainland and Macao Closer Economic Partnership Arrangement
56,"China - Macao, China"," China, Macao, China",Goods & Services,2013-11-12,2013-08-30,2013-08-30,Supplement X to the Mainland and Macao Closer Economic Partnership Arrangement
56,"China - Macao, China"," China, Macao, China",Goods & Services,2015-03-30,2014-12-18,2014-12-18,"On 18 December 2014, China and Macao, China signed the Agreement between the Mainland and Macao on Achieving Basic Liberalization of Trade in Services in Guangdong under the framework of CEPA. The Agreement adopts a hybrid approach of negative and positive listings in further liberalization, covering 153 services trade sub-sectors. Among all, positively listed sectors such as telecommunications and cultural services introduce 24 new liberalization measures, including the opening up of additional 84 sectors for individually owned stores. National treatment will be applied to Macao in 58 sub-sectors, including advertising, photography, convention, hotels and restaurants, tourist guides, road transport and so on. With respect to investment facilitation, Macao service suppliers in the majority of the services sub-sectors are given the same treatment as companies from the Mainland. While the Agreement came into effect on 18 December 2014, the further liberalization measures with regard to trade in services will be implemented on 1 March 2015. 
"
56,"China - Macao, China"," China, Macao, China",Goods & Services,2016-04-01,2015-11-28,2015-11-28,"On 28 November 2015, China and Macao, China signed the Agreement on Trade in Services (""the Agreement"") under the framework of CEPA. On the basis of CEPA and its Supplements, as well as the Agreement between the Mainland and Macao on Achieving Basic Liberalization of Trade in Services in Guangdong (""the Guangdong Agreement""), the Agreement further enhances the liberalization of trade in services in both breadth and depth. It includes extending the implementation of liberalization measures in the Guangdong Agreement to the whole Mainland; adding 20 liberalization measures in the positive lists for cross-border services as well as cultural and telecommunication services; and reducing the non-conforming measures in the negative list to 120. The Agreement also sets out provisions for the most-favoured treatment and investment facilitation. The Agreement came into effect on 28 November 2015, and will be implemented as from 1 June 2016."
56,"China - Macao, China"," China, Macao, China",Goods & Services,2018-05-18,2017-12-18,2017-12-18,"Notification of the Investment Agreement and the Agreement on Economic and Technical Cooperation (""Ecotech Agreement"") under the framework of the Mainland and Macao Closer Economic Partnership Arrangement (""CEPA"").

The Investment Agreement covers admission of investments, investment protection and facilitation, and broadens the commitments on investment under the framework of CEPA by extending the liberalization of investment access to non-services sectors. The Investment Agreement came into effect on the day of signing and had been implemented as from 1 January 2018.

The Ecotech Agreement harmonises and updates the economic and technical cooperation activities set out in CEPA and its Supplements. Among others are chapters on deepening economic and trade cooperation areas of the ""Belt and Road"" Initiative, Sub-regional Cooperation and the development of Macao as a commercial and trade cooperation service platform between China and the Portuguese-speaking countries, which are the key cooperation areas between the Mainland and Macao, China. The Ecotech Agreement came into effect on the day of signing."
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2005-01-19,2004-10-27,2005-01-01,Supplement to the Mainland and Hong Kong Closer Economic Partnership Arrangement
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2006-01-11,2005-10-18,2006-01-01,Supplement II to the Mainland and Hong Kong Closer Economic Partnership Arrangement
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2006-11-27,2006-06-27,2007-01-01,Supplement III to the Mainland and Hong Kong Closer Economic Partnership Arrangement 
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2007-12-18,2007-06-29,2007-06-29,Supplement IV to the Mainland and Hong Kong Closer Economic Partnership Arrangement
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2008-12-02,2008-07-29,2008-07-29,Supplement V to the Mainland and Hong Kong Closer Economic Partnership Arrangement 
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2009-09-14,2009-05-09,2009-05-09,Supplement VI to the Mainland and Hong Kong Closer Economic Partnership Arrangement 
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2010-11-26,2010-05-27,2010-05-27,Supplement VII to the Mainland and Hong Kong Closer Economic Partnership Arrangement 
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2012-03-02,2011-12-13,2011-12-13,Supplement VIII to the Mainland and Hong Kong Closer Economic Partnership Arrangement 
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2012-09-14,2012-06-29,2012-06-29,Supplement IX to the Mainland and Hong Kong Closer Economic Partnership Arrangement 
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2013-11-12,2013-08-29,2013-08-29,Supplement X to the Mainland and Hong Kong Closer Economic Partnership Arrangement 
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2015-03-16,2014-12-18,2014-12-18,"Further to the conclusion of Supplement X to the CEPA notified to the CRTA on12 November 2013, China and Hong Kong, China signed on 18 December 2014, under CEPA, the Agreement between the Mainland and Hong Kong on Achieving Basic Liberalization of Trade in Services in Guangdong (""the Agreement""). The Agreement sets out the liberalization measures for trade in services in Guangdong by way of both positive and negative listing. It came into effect on the day of signing and would be implemented as from 1 March 2015. 
"
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2016-03-22,2015-11-27,2015-11-27,"Further to the conclusion of the Agreement between the Mainland and Hong Kong on Achieving Basic Liberalisation of Trade in Services in Guangdong under CEPA (""the Guangdong Agreement"") notified to the CRTA on 16 March 2015, China and Hong Kong, China signed on 27 November 2015, under the framework of CEPA, an Agreement on Trade in Services (""the Agreement"") to realise basic liberalisation of trade in services in the whole territory of the Mainland. The Agreement makes reference to the framework of the Guangdong Agreement and sets out the liberalisation measures by way of both positive and negative listing. In addition to including new liberalisation measures, the Agreement also covers and consolidates commitments relating to liberalisation of trade in services previously provided in CEPA and its Supplements and also the Guangdong Agreement. The Agreement came into effect on the day of signing and would be implemented as from 1 June 2016."
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods & Services,2017-08-19,2017-06-28,2017-06-28,"Notification of the Investment Agreement and the Agreement on Economic and Technical Cooperation (“Ecotech Agreement”) under the Mainland and Hong Kong Closer Economic Partnership Arrangement (""CEPA"").

The Investment Agreement brings enhancement to the overall CEPA framework through expansion of commitments of investment access to non-services sectors and introduction of obligations on investment protection. It also contains provisions on investment promotion and facilitation. The Investment Agreement came into effect on the day of signing and would be implemented as from 1 January 2018.

The Ecotech Agreement consolidates and updates the economic and technical cooperation activities set out in CEPA and its Supplements to cater for the trend and needs for the development of Hong Kong and the Mainland. It builds the basis and sets the direction for closer cooperation between the two places in future. The Ecotech Agreement also includes cooperation in the economic and trade areas of the “Belt and 
Road” Initiative and Sub-regional Cooperation under the systemic framework of CEPA. 

The Ecotech Agreement came into effect on the day of signing."
57,"China - Hong Kong, China"," China, Hong Kong, China",Services,2020-03-18,2019-11-21,2019-11-21,"The Agreement concerning Amendment to the Agreement on Trade in Services of the Mainland and Hong Kong Closer Economic Partnership Arrangement (“the Amendment Agreement”) updates the commitments on liberalisation and facilitation of trade in services under the Agreement on Trade in Services notified to the WTO on 23 March 2016 (WT/REG162/N/1/Add.9 and S/C/N/264/Add.9) and implemented on 1 June 2016 so as to enhance the level of liberalisation on trade in services under the framework of CEPA. The Amendment Agreement introduces new liberalisation measures in various services sectors, including measures for pilot implementation in the nine Pearl River Delta municipalities of the Guangdong-Hong Kong-Macao Greater Bay Area. The Amendment Agreement came into effect on the day of signing (i.e. 21 November 2019) and will be implemented on 1 June 2020."
57,"China - Hong Kong, China"," China, Hong Kong, China",Services,2024-12-06,2024-10-09,2024-10-09,"Notification of the Second Agreement Concerning Amendment to the Agreement on Trade in Services of the Mainland and Hong Kong Closer Economic Partnership Arrangement.

The Second Agreement Concerning Amendment to the Agreement on Trade in Services of the Mainland and Hong Kong Closer Economic Partnership Arrangement (“the Amendment Agreement II”) updates the commitments on liberalisation and facilitation of trade in services under the Agreement on Trade in Services notified to the WTO on 23 March 2016 (WT/REG162/N/1/Add.9 and S/C/N/264/Add.9) and implemented on 1 June 2016 so as to further enhance the level of liberalisation on trade in services under the framework of CEPA.  The Agreement on Trade in Services was first amended on 21 November 2019 as notified to the WTO on 18 March 2020 (S/C/N/264/Add.11 and S/C/N/264/Add.11/Corr.1) to add liberalisation measures which have been implemented since 1 June 2020.  The Amendment Agreement II introduces new liberalisation measures in a number of services sectors, including measures for pilot implementation in the nine Pearl River Delta municipalities in the Guangdong-Hong Kong-Macao Greater Bay Area, and includes commitments on domestic regulation for trade in services and facilitation measures on trade and investment, etc.  The Amendment Agreement II came into effect on the day of signing (i.e. 9 October 2024) and will be implemented on 1 March 2025."
57,"China - Hong Kong, China"," China, Hong Kong, China",Goods,2019-03-04,2018-12-14,2018-12-14,"The Agreement on Trade in Goods (""the Agreement"") consolidates and updates the previous commitments on liberalisation and facilitation of trade in goods in CEPA and its relevant Supplements. On top of the existing CEPA commitments on trade in goods, the Agreement enhances the provisions on rules of origin, which include introducing a general rule of origin based on value-added applicable to products not having product-specific rules of origin, and simplifying and updating the product-specific rules of origin. The Agreement adds new Chapters on Customs Procedures and Trade Facilitation, Sanitary and Phytosanitary Measures and Technical Barriers to Trade to provide for relevant measures to facilitate trade and strengthen cooperation between the two sides. The Agreement also introduces trade facilitation measures in the Guangdong-Hong Kong, Macao Greater Bay Area. The Agreement came into effect on the day of signing (i.e. 14 December 2018) and was implemented on 1 January 2019."
65,EFTA - Singapore," Singapore, European Free Trade Association (EFTA)",Goods,2008-07-08,2007-03-14,2007-08-01,"Notification of the entry into force of Decision No. 1 of 2007 of the Joint EFTA-Singapore Committee concerning amendments to Annex III concerning processed agricultural products.

Taking into account that the EFTA States have revised their agreements with the European Community on processed agricultural products, by expanding the product coverage of these agreements and providing for improved concessions for the products covered, the Decision updates Annex III to ensure products originating in Singapore are accorded treatment no less favourable than that accorded to any other State. 

Additionally the Annex has been updated according to changes in the International Convention on the Harmonized Commodity Description and Coding System (HS), which entered into force on 1 January 2007."
65,EFTA - Singapore," Singapore, European Free Trade Association (EFTA)",Goods,2008-07-08,2007-03-14,2007-08-01,"Notification of the entry into force of Decision No. 2 of 2007 of the Joint EFTA-Singapore Committee concerning amendments to Annex V concerning products not covered by Article 8.

Update of the list of products, to which Article 8 of the Agreement does not apply when imported into an EFTA State, by deleting some products from the list. "
65,EFTA - Singapore," Singapore, European Free Trade Association (EFTA)",Goods,2008-07-08,2007-03-14,2007-08-01,"Notification of the entry into force of Decision No. 3 of 2007 of the Joint EFTA-Singapore Committee concerning amendments to Annex IV concerning fish and other marine products. 

Addition of products to the scope of Annex IV to the Agreement in line with international developments regarding trade and definition of fish and fisheries products. "
65,EFTA - Singapore," Singapore, European Free Trade Association (EFTA)",Goods,2008-07-08,2007-03-14,2007-08-01,"Notification of the entry into force of Decision No. 4 of 2007 of the Joint EFTA-Singapore Committee concerning amendments to Annex I to the Agreement.

Amendments to Articles 1(c) following change of competent authority in Singapore for customs and origin matters. Changes to the Direct Transport rule in Article 14 and deletion of Article 15 concerning exhibitions. "
65,EFTA - Singapore," Singapore, European Free Trade Association (EFTA)",Goods,2008-07-08,2007-03-14,2007-08-01,"Notification of the entry into force of Decision No. 5 of 2007 of the Joint EFTA-Singapore Committee concerning amendments to Appendices 1-3 to Annex I to the Agreement. 

Adjustment in the HS structure and specific list rules following the entry into force of the amendments to the HS on 1 January 2007."
65,EFTA - Singapore," Singapore, European Free Trade Association (EFTA)",Goods,2012-05-14,2010-07-06,2011-11-01,"Notification of the entry into force of Decision No. 1 of 2010 of the Joint EFTA-Singapore Committee concerning amendments to Annex IV concerning fish and other marine products. 

Noting that there are technical errors in Annex IV Fish and Other Marine Products, some of which occurred through the adoption and application of the Joint Committee Decision No. 3 of 2007, amending Annex IV Fish and Other Marine Products, 
Wishing to rectify these errors with the desire to clarify the meaning and increasing the harmonisation of the scope of Annex IV with other existing agreements. "
70,Japan - Singapore," Japan, Singapore",Goods,2008-01-17,2007-11-27,2008-01-01,"Notification of Exchange of Diplomatic Notes amending Annexes IIA and IIB of the Agreement between Japan and Singapore for a New-Age Economic Partnership.

Pursuant to Article 10 (General Review) of the Agreement between Japan and Singapore for a New-Age Economic Partnership (JSEPA) signed on 13 January 2002, Japan and Singapore have agreed to amend Annex IIA (Product-Specific Rules) and Annex IIB (Minimum Data Requirement for Certificate of Origin) as part of the outcome of the General Review."
70,Japan - Singapore," Japan, Singapore",Goods & Services,2007-08-29,2007-03-19,2007-09-02,"Pursuant to Article 10 (General Review) of the Agreement between Japan and the Republic of Singapore for a New-Age Economic Partnership (JSEPA) signed on 13 January 2002, Japan and the Republic of Singapore have agreed to improve market access in the area of industrial and agricultural products, improve specific commitments for financial services, revise rules of origin as well as customs procedures, and technically alter provisions on competition. "
75,EFTA - Jordan ," Jordan, European Free Trade Association (EFTA)",Goods,2013-09-05,2012-04-20,2013-10-01,"Notification of the entry into force of Decision No. 1 of 2012 of the Joint EFTA-Jordan Committee concerning amendments to Annex II – Fish and other marine products.

Harmonization of the scope of Annex II in line with international developments. Completion of Table 1 of Annex II and Table 3 of Annex II.
"
75,EFTA - Jordan ," Jordan, European Free Trade Association (EFTA)",Goods,2013-09-05,2012-04-20,2013-10-01,"Notification of the entry into force of Decision No. 2 of 2012 of the Joint EFTA-Jordan Committee concerning amendments to Annex III – Customs Duties on Imports and Charges having Equivalent Effect.

Replacing Annex III and its Tables A, B and C, as well as adding Tables A1, B1, B2 and C1."
75,EFTA - Jordan ," Jordan, European Free Trade Association (EFTA)",Goods,2013-09-05,2012-04-20,2013-10-01,"Notification of the entry into force of Decision No. 3 of 2012 of the Joint EFTA-Jordan Committee concerning amendments to Protocol B – Concerning the definition of the Concept of ""Originating Products"" and Methods of Administrative Cooperation.

Amendments to Protocol B concerning the definition of the concept of ""originating products"" and methods of administrative cooperation, as well as replacing Annexes I and II to Protocol B."
79,EFTA - Mexico," Mexico, European Free Trade Association (EFTA)",Goods,2013-09-11,2010-05-07,2012-05-01,"Notification of the entry into force of Decision No. 5 of 2010 of the Joint EFTA-Mexico Committee concerning amendments to Annex XIII – Government Procurement: Covered Goods. 

The Decision updates Annex XIII by bringing it in line with HS 2007."
